rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
221,frame_0108.jpg,43.2,0.2971,0.5032,0.125,0.04,6,1,False,False
222,frame_0092.jpg,36.8,0.2958,0.4045,0.125,0.28,5,1,False,False
223,frame_0382.jpg,152.8,0.2949,0.4078,0.25,0.08,7,2,False,False
224,frame_0229.jpg,91.6,0.2908,0.3995,0.25,0.08,7,2,False,False
225,frame_0103.jpg,41.2,0.2892,0.3643,0.25,0.16,4,2,False,False
226,frame_0178.jpg,71.2,0.2884,0.3629,0.25,0.16,6,2,False,False
227,frame_0192.jpg,76.8,0.2874,0.3448,0.25,0.2,5,2,False,False
228,frame_0094.jpg,37.6,0.2872,0.3443,0.25,0.2,5,2,False,False
229,frame_0395.jpg,158.0,0.2872,0.3764,0.25,0.12,5,2,False,False
230,frame_0213.jpg,85.2,0.2862,0.2733,0.125,0.56,4,1,False,False
231,frame_0083.jpg,33.2,0.284,0.2369,0.125,0.64,8,1,False,False
232,frame_0102.jpg,40.8,0.2839,0.3698,0.25,0.12,6,2,False,False
233,frame_0090.jpg,36.0,0.2814,0.3439,0.125,0.36,5,1,False,False
234,frame_0221.jpg,88.4,0.2763,0.3066,0.25,0.24,5,2,False,False
235,frame_0214.jpg,85.6,0.2702,0.2575,0.125,0.52,3,1,False,False
236,frame_0190.jpg,76.0,0.2686,0.4142,0.125,0.12,4,1,False,False
237,frame_0324.jpg,129.6,0.2672,0.3525,0.25,0.08,4,2,False,False
238,frame_0177.jpg,70.8,0.2665,0.3779,0.125,0.2,6,1,False,False
239,frame_0022.jpg,8.8,0.2659,0.1318,0.0,1.0,4,0,False,False
240,frame_0219.jpg,87.6,0.2652,0.3274,0.125,0.32,4,1,False,False
241,frame_0212.jpg,84.8,0.2647,0.2144,0.125,0.6,3,1,False,False
242,frame_0093.jpg,37.2,0.2631,0.2802,0.25,0.24,4,2,False,False
243,frame_0204.jpg,81.6,0.2613,0.2506,0.0,0.68,2,0,False,False
244,frame_0228.jpg,91.2,0.2479,0.4048,0.125,0.04,4,1,False,False
245,frame_0268.jpg,107.2,0.242,0.3771,0.125,0.08,4,1,False,False
246,frame_0100.jpg,40.0,0.2406,0.3902,0.125,0.04,5,1,False,False
247,frame_0316.jpg,126.4,0.2316,0.3243,0.125,0.16,6,1,False,False
248,frame_0223.jpg,89.2,0.224,0.309,0.125,0.16,6,1,False,False
249,frame_0381.jpg,152.4,0.2074,0.3237,0.125,0.04,6,1,False,False
250,frame_0181.jpg,72.4,0.207,0.323,0.125,0.04,7,1,False,False
251,frame_0269.jpg,107.6,0.207,0.3229,0.125,0.04,5,1,False,False
252,frame_0101.jpg,40.4,0.193,0.2791,0.125,0.08,5,1,False,False
253,frame_0393.jpg,157.2,0.1877,0.2844,0.125,0.04,5,1,False,False
254,frame_0110.jpg,44.0,0.1772,0.3065,0.0,0.12,3,0,False,False
255,frame_0325.jpg,130.0,0.1618,0.2327,0.125,0.04,6,1,False,False
256,frame_0197.jpg,78.8,0.1575,0.155,0.0,0.4,1,0,False,False
